,PART,PACKAGE,DEVICE,P/DNP,TYPE,SKU,PINS
0,J1,24 Contact,Type C,P,TH,UJ31-CH-G-SMT-TR-67,
1,RST_SW,6.0X3.5MM,Tact Switch,P,TH,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,
2,S1,6.0X3.5MM,Tact Switch,P,TH,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,
3,REED_SW,AXIAL-0.3,Reed Switch,P,TH,MDSR-7-10-20,
4,VIB,TH,Vibration Motor,P,TH,DC Motor 316040001_3V_10MM,
5,ATTINY,SOIC-8,ATtiny controller,P,SMD,‎ATTINY85V-10SU‎,
6,TPS,SOT-23-6,Load Switch,P,SMD,TPS22918DBVR,
7,LDO,SOT-223-3,LDO,P,SMD,TC1264-3.3VDBTR,
8,BUZZ,SMD,Buzzer,P,SMD,SMT-0540-S-R Buzzer,
9,Q4,SOT-23-3,MOSFET,P,SMD,SI2302ADS-T1-E3,
10,Q5,SOT-23-3,MOSFET,P,SMD,SI2302ADS-T1-E3,
11,R9,402,Resistor,P,SMD,RES_540_OHM_0402_1/16W_5%,
12,R13,402,Resistor,P,SMD,RES_4.7k_OHM_0402_1/16W_5%,
13,VD_R2,402,Resistor,P,SMD,RES_3.9k_OHM_0402_1/16W_5%,
14,R10,402,Resistor,P,SMD,RES_2k_OHM_0402_1/16W_5%,
15,R36,402,Resistor,P,SMD,RES_220_OHM_0402_1/16W_5%,
16,R_LED1,402,Resistor,P,SMD,RES_220_OHM_0402_1/16W_5%,
17,R_LED2,402,Resistor,P,SMD,RES_220_OHM_0402_1/16W_5%,
18,R_LED3,402,Resistor,P,SMD,RES_220_OHM_0402_1/16W_5%,
19,R_LED4,402,Resistor,P,SMD,RES_220_OHM_0402_1/16W_5%,
20,R11,402,Resistor,P,SMD,RES_2.7k_OHM_0402_1/16W_5%,
21,R12,402,Resistor,P,SMD,RES_2.7k_OHM_0402_1/16W_5%,
22,R22,402,Resistor,P,SMD,RES_2.7k_OHM_0402_1/16W_5%,
