,PART,DEVICE,VALUE,TYPE,PACKAGE,PART NO.,SKU,P/DNP,DESCRIPTION,PINS
0,J1,Type C,UJ31-CH-G-SMT-TR-67,TH,24 Contact,UJ31-CH-G-SMT-TR-67,UJ31-CH-G-SMT-TR-67,P,,
1,RST_SW,Tact Switch,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,TH,6.0X3.5MM,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,P,,
2,S1,Tact Switch,PTS636_SK50J_SMTR_LFS,TH,6.0X3.5MM,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM,P,"Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 5.0mm H, 250gf, J leads, No ground pin, Red Actuator",
3,REED_SW,Reed Switch,0,TH,AXIAL-0.3,MDSR-7-10-20,MDSR-7-10-20,P,,
4,VIB,Vibration Motor,C0720B001F,TH,TH,DC Motor 316040001_3V_10MM,DC Motor 316040001_3V_10MM,P,"DC Motor Vibration, ERM 10000 RPM 3VDC",
5,ATTINY,ATtiny controller,ATTINY85SU,SMD,SOIC-8,‎ATTINY85V-10SU‎,‎ATTINY85V-10SU‎,P,,
6,TPS,Load Switch,TPS22918,SMD,SOT-23-6,TPS22918DBVR,TPS22918DBVR,P,,
7,LDO,LDO,TC1264,SMD,SOT-223-3,TC1264-3.3VDBTR,TC1264-3.3VDBTR,P,,
8,BUZZ,Buzzer,SMT-0540-S-R,SMD,SMD,SMT-0540-S-R,SMT-0540-S-R Buzzer,P,,
9,Q4,MOSFET,SI2302,SMD,SOT-23-3,SI2302ADS-T1-E3,SI2302ADS-T1-E3,P,N-Channel 20V 2.6A (Ta) 710mW (Ta) Surface Mount SOT-23-3 (TO-236),
10,Q5,MOSFET,SI2302,SMD,SOT-23-3,SI2302ADS-T1-E3,SI2302ADS-T1-E3,P,N-Channel 20V 2.6A (Ta) 710mW (Ta) Surface Mount SOT-23-3 (TO-236),
11,R9,Resistor,540,SMD,402,RES_540_OHM_0402_1/16W_5%,RES_540_OHM_0402_1/16W_5%,P,,
12,R13,Resistor,4.7k,SMD,402,RES_4.7k_OHM_0402_1/16W_5%,RES_4.7k_OHM_0402_1/16W_5%,P,,
13,VD_R2,Resistor,3.9K,SMD,402,RES_3.9k_OHM_0402_1/16W_5%,RES_3.9k_OHM_0402_1/16W_5%,P,,
14,R10,Resistor,2K,SMD,402,RES_2k_OHM_0402_1/16W_5%,RES_2k_OHM_0402_1/16W_5%,P,,
15,R36,Resistor,220,SMD,402,RES_220_OHM_0402_1/16W_5%,RES_220_OHM_0402_1/16W_5%,P,,
16,R_LED1,Resistor,220,SMD,402,RES_220_OHM_0402_1/16W_5%,RES_220_OHM_0402_1/16W_5%,P,,
